Code	Parents	Parent plasmid
PKW573	/MATERIALS/US77 /MATERIALS/US78	pKW350 - pRS316
PKW574		pKW567 - pQE9
PKW575		pRS303
PKW576		pET28a
PKW577		pKW467 - pRS CRM1-A1
PKW578		pKW456 - pRS-crm1-1-GFP
PKW579		EBO347 PHO4-GFP
PKW58		pJG4-5
PKW580	/MATERIALS/US76 /MATERIALS/US83	pKW581 - pQE GSP1
PKW581	/MATERIALS/US83 /MATERIALS/US84	pKW581- pQE GSP1
PKW582	/MATERIALS/US83 /MATERIALS/US84	pKW581 - pQE GSP1
PKW583		pET28a
PKW584		
PKW585		
PKW586	/MATERIALS/US84 /MATERIALS/US87	pKW581 - pQE GSP1
PKW587		pKW580 - pQE GSP1‰ö C
PKW588		pRS305
PKW589		
PKW59		pJG4-5
PKW590		pKW580 - pQE GSP1‰ö C
PKW591		pKW590
PKW592	/MATERIALS/US76 /MATERIALS/US83	pKW581 - pQE GSP1
PKW593		pKW348 - pRS314
PKW594		
PKW595		
PKW596		
PKW597		
PKW598		EB0151
PKW599	/MATERIALS/US91 /MATERIALS/US92	pBluescript SK+
PKW6		pSG5
PKW60		pJG4-5
PKW600		pKW350 - pRS316
PKW601		pKW599 - pBS R17-2loops
PKW602		pKW601 - pBS2x(R17-2loops)
PKW603		pKW602 - pBS4x(R17-2loops)
PKW604	/MATERIALS/US95 /MATERIALS/US96	pKW581 - pQE GSP1
PKW605	/MATERIALS/US93 /MATERIALS/US94	pKW604 - pQE R17
PKW606		pKW346 - pRS316-G
PKW607		
PKW608		
PKW609		
PKW61		pJG4-5
PKW610		
PKW611		
PKW612		
PKW613		
PKW614		
PKW615		
PKW616		
PKW617		
PKW618		
PKW619		
PKW62		pJG4-5
PKW620		
PKW621		
PKW622		
PKW623		
PKW624		
PKW625		
PKW626		
PKW627		
PKW628		
PKW629	/MATERIALS/US100 /MATERIALS/US99	pKW606 - pRSGAL.GFP.R17
PKW63		pJG4-5
PKW630	/MATERIALS/US101 /MATERIALS/US95	pKW605 (pQE.GFP.R17)
PKW631		
PKW632		
PKW633		
PKW634		pKW457
PKW635		pKW631 - pQE-30
PKW636		pQE60
PKW637		pQE60
PKW638	/MATERIALS/US102 /MATERIALS/US103	pKW630 (pQE GFP.2XR17)
PKW639	/MATERIALS/US102 /MATERIALS/US103	pQE GFP.2XR17
PKW64		pJG4-5
PKW640	/MATERIALS/US102 /MATERIALS/US103	pQE GFP 2XR17
PKW641	/MATERIALS/US104 /MATERIALS/US105	pKW610 (pCM172)
PKW642		pKW606(pRSGAL.GFP.R17)
PKW643		pKW606(pRSGAL.GFP.R17)
PKW644		pKW606(pRSGAL.GFP.R17)
PKW645		pKW606(pRSGAL.GFP.R17)
PKW646		pKW629(pRSHIS.GFP.R17)
PKW647		pKW629(pRSHIS.GFP.R17)
PKW648		pKW629(pRSHIS.GFP.R17)
PKW649		pKW629(pRSHIS.GFP.R17)
PKW65		pJG4-5
PKW650		pKW610 (pCM172)
PKW651		pT7T3D-Pac
PKW652		pGEX-4T-1
PKW653		pGEX-4T-1
PKW654	/MATERIALS/US114 /MATERIALS/US115	pFA6a-GFP(S65T)-HIS3MX6
PKW655		pKW631 - pQE-30
PKW656		
PKW657		
PKW658		
PKW659		
PKW66		pJG4-5
PKW660		pKW470
PKW661		
PKW662		
PKW663		
PKW664		
PKW665		
PKW666		
PKW667		pET-3d
PKW668		pKW652 - GST-NES-GFP
PKW669		pKW653 - GST-P12-2GFP
PKW67		pJG4-5
PKW670		Lafmid BA
PKW671		pKW610 - pCM172
PKW672		pKW610 - pCM172
PKW673	/MATERIALS/US112 /MATERIALS/US113	pKW417
PKW674	/MATERIALS/US112 /MATERIALS/US113	pKW431
PKW675		pKW590 - pQE-RanQ69L
PKW676	/MATERIALS/US120 /MATERIALS/US121	pKW321 - pRSET bGal
PKW677	/MATERIALS/US104 /MATERIALS/US105	pBluescript SK+
PKW678	/MATERIALS/US104 /MATERIALS/US105	pBluescript SK+
PKW679		pKW633 - pQE-32
PKW68		pJG4-5
PKW680		
PKW681		
PKW682		
PKW683		pRS316
PKW684		
PKW685		pKW671 - pCM8
PKW686		pKW615 - pCM182
PKW687	/MATERIALS/US118 /MATERIALS/US119	pKW557 - pZZ-Ran
PKW688		
PKW689		pKW615 - pCM182
PKW69		pJG4-5
PKW690		pKW615 - pCM182
PKW691	/MATERIALS/US118 /MATERIALS/US119	pKW633 - pQE-32
PKW692		pKW686 - pCM182-HIS
PKW693		pKW686 - pCM182-HIS
PKW694	/MATERIALS/US122 /MATERIALS/US123	pKW590 - pQE-RanQ69L
PKW695		pKW694 - pQE-RanQ69L‰ö C
PKW696	/MATERIALS/US142 /MATERIALS/US143	pKW633 - pQE-32
PKW697		pKW696 - pQE-RanT24N
PKW698		pKW1 - pGEX-2T
PKW699		pKW1 - pGEX-2T
PKW7		
PKW70		pJG4-5
PKW700		pKW683
PKW701		pKW440
PKW702		pKW457
PKW703		pKW349 - pRS315
PKW704		pKW573
PKW705		pKW633 - pQE-32
PKW706		pKW691 - pQE-RCC1
PKW707		
PKW708		
PKW709		
PKW71		pJG4-5
PKW710		
PKW711		pKW347 - pRS313
PKW712		pKW577-pRS313
PKW713	/MATERIALS/US142 /MATERIALS/US143	pKW633 - pQE-32
PKW714	/MATERIALS/US142 /MATERIALS/US143	pKW633 - pQE-32
PKW715		
PKW716		pBluescript SK+
PKW717		
PKW718		
PKW719		
PKW72		pJG4-5
PKW720		pKW605 - PQE GFP-R17
PKW721		pKW605 - PQE GFP-R17
PKW722		
PKW723	/MATERIALS/US165 /MATERIALS/US166	pKW632 - pQE-31
PKW724	/MATERIALS/US165 /MATERIALS/US166	pKW633 - pQE-32
PKW725		pKW577 - pRS XPO1-ZZ
PKW726		pKW344 - pRS314-G
PKW727		pKW344 - pRS314-G
PKW728		pKW709 - pRS306
PKW729	/MATERIALS/US179 /MATERIALS/US180	pKW503 - pBluescriptKS+
PKW73		pJG4-5
PKW730		pKW353 - pRS425
PKW731		pKW353-pRS425
PKW732		
PKW733		
PKW734	/MATERIALS/US165 /MATERIALS/US166	pKW633 - pQE-32
PKW735		pKW709 - pRS306
PKW736	/MATERIALS/US171	pKW485
PKW737	/MATERIALS/US189 /MATERIALS/US190	pKW163 - pEG202+4
PKW738		pKW282 - pQE60
PKW739		pKW631 - pQE-30
PKW74		pJG4-5
PKW740		pKW282 - pQE60
PKW741		pKW373 - pQE Npl-core
PKW742	/MATERIALS/US179 /MATERIALS/US180	pKW503 - pBluescriptKS+
PKW743		
PKW744	/MATERIALS/US207 /MATERIALS/US208	
PKW745	/MATERIALS/US209 /MATERIALS/US210	
PKW746	/MATERIALS/US216 /MATERIALS/US217	pKW485 - pET p97
PKW747	/MATERIALS/US216 /MATERIALS/US218	pKW485 - pET p97
PKW748	/MATERIALS/US195 /MATERIALS/US196	pKW725
PKW749		pKW164 - pJG4-5
PKW75		pJG4-5
PKW750		pKW632 - pQE31
PKW751		pKW616
PKW752		Ref.710
PKW753		pKW752 - pKW710 + Xho
PKW754		pKW752 - pKW710 + Xho
PKW755		pKW752 - pKW710 + Xho
PKW756		pKW752 - pKW710 + Xho
PKW757		pET3d
PKW758		YIplc204
PKW759		YIplc128
PKW76		pJG4-5
PKW760		pRS303
PKW761		pRS303
PKW762		pKW488 - pET 71-876
PKW763		pKW282 - pQE60
PKW764		pKW282 - pQE60
PKW765		pKW752 - pKW710 + Xho
PKW766		pKW752 - pKW710 + Xho
PKW767		pKW752 - pKW710 + Xho
PKW768		pKW752 - pKW710 + Xho
PKW769		pQE70 (Qiagen)
PKW77		pJG4-5
PKW770	/MATERIALS/US65 /MATERIALS/US66	pKW655 - pQE-RanBP1
PKW771		
PKW772		
PKW773		pET30b
PKW774		
PKW775		
PKW776		
PKW777		
PKW778		
PKW779		
PKW78		pJG4-5
PKW780		
PKW781		
PKW782		
PKW783		
PKW784		
PKW785		
PKW786		
PKW787		
PKW788		
PKW789		
PKW79		pJG4-5
PKW790		
PKW791		
PKW792		
PKW793		
PKW794		
PKW795		
PKW796		
PKW797		
PKW798		
PKW799		
PKW8		pGEX-2T
PKW80		pJG4-5
PKW800		
PKW801		
PKW802	/MATERIALS/US291 /MATERIALS/US292	pKW393 - pRS424
PKW803	/MATERIALS/US293	
PKW804	/MATERIALS/US293 /MATERIALS/US294	pKW710
PKW805	/MATERIALS/US283 /MATERIALS/US284	pKW346-pGAL
PKW806	/MATERIALS/US283 /MATERIALS/US284	pKW346-pGAL
PKW807		pKW805
PKW808		pKW806
PKW809		pYX242
PKW81		pJG4-5
PKW810		pET30b
PKW811		pET3a
PKW812		pKW571- pQE XPO1
PKW813		pKW712-pRSLMBsXPO1
PKW814		
PKW815		
PKW816		pTYB4
PKW817		
PKW818		
PKW819		
PKW82		pJG4-5
PKW820		
PKW821		
PKW822		pET30a
PKW823		pHAT2-EGFP
PKW824		pET28a
PKW825		
PKW826		
PKW827		
PKW828		
PKW829		
PKW83		pJG4-5
PKW830		
PKW831		
PKW832		
PKW833		
PKW834		
PKW835		pKW825
PKW836	/MATERIALS/US365 /MATERIALS/US448	pKW673
PKW837		
PKW838	/MATERIALS/US331 /MATERIALS/US332	pKW633 - pQE32
PKW839	/MATERIALS/US321 /MATERIALS/US322	pKW640
PKW84		pJG4-5
PKW840		PK9
PKW841		pTrcHisB (Invitrogen)
PKW842		pQE-9
PKW843		pRS316
PKW844		pRS314
PKW845		EBO346(pRS316-pPHO4-GFP)
PKW846		pKW845
PKW847		pKW845
PKW848		pKW847
PKW849		
PKW85		pJG4-5
PKW850		pET23b
PKW851		pET28a
PKW852		
PKW853	/MATERIALS/US207 /MATERIALS/US357	
PKW854	/MATERIALS/US208 /MATERIALS/US328	pRSET A
PKW855	/MATERIALS/US328 /MATERIALS/US357	pRSET A
PKW856		
PKW857		
PKW858		
PKW859		
PKW86		pJG4-5
PKW860		
PKW861		
PKW862	/MATERIALS/US496 /MATERIALS/US497	pKW356 - pQE Ran
PKW863		
PKW864		
PKW865		
PKW866		
PKW867		
PKW868		
PKW869		
PKW87		pJG4-5
PKW870		
PKW871		
PKW872		
PKW873		pKW736 - Imp beta D14N S15
PKW874		
PKW875		
PKW876		
PKW877		pGEX1-1
PKW878		
PKW879		
PKW88		pJG4-5
PKW880		
PKW881		
PKW882		
PKW883	/MATERIALS/US329 /MATERIALS/US330	pKW810
PKW884		pKW625
PKW885	/MATERIALS/US459 /MATERIALS/US460	pKW625
PKW886		pKW625
PKW887		
PKW888		pGEX2T
PKW889		
PKW89		pJG4-5
PKW890		
PKW891		
PKW892		
PKW893		pGEX-2T
PKW894		pGEX-2T
PKW895		pGEX-2T
PKW896		pGEX-2T
PKW897		pGEX-2T
PKW898		pGEX-2T
PKW899		pGEX-2T
PKW9		pUC8
PKW90		pJG4-5
PKW900		pGST-GFP
PKW901		pKW708
PKW902		pKW708 - pRS304
PKW903		
PKW904		
PKW905		
PKW906		pKW350 - pRS315
PKW907		
PKW908		
PKW909		
PKW91		pJG4-5
PKW910		
PKW911		
PKW912		
PKW913		pKW862 - pQE32 RanCore
PKW914		
PKW915		pET30a
PKW916		pET30a
PKW917		pET30a
PKW918		pET30a
PKW919		pKW1 - pGEX-2T
PKW92		pJG4-5
PKW920		pKW1 - pGEX-2T
PKW921		pET30a
PKW922		pET30a
PKW923		pET30a
PKW924	/MATERIALS/US492 /MATERIALS/US493	pKW312
PKW925		pKW631
PKW926	/MATERIALS/US384 /MATERIALS/US385	pKW434 - pBS xpo1-1-GFP
PKW927		pKW350 - pRS316
PKW928	/MATERIALS/US386 /MATERIALS/US387	pKW434
PKW929		pKW350 -pRS316
PKW93		pJG4-5
PKW930	/MATERIALS/US465 /MATERIALS/US466	pKW926
PKW931		pKW349
PKW932	/MATERIALS/US463 /MATERIALS/US464	pKW928
PKW933		pKW348 - pRS314
PKW934		
PKW935		
PKW936		
PKW937		
PKW938		
PKW939	/MATERIALS/US257 /MATERIALS/US473	pKW833
PKW94		pJG4-5
PKW940	/MATERIALS/US257 /MATERIALS/US474	pKW833
PKW941	/MATERIALS/US257 /MATERIALS/US475	pKW833
PKW942		
PKW943		
PKW944		
PKW945		
PKW946		
PKW947		
PKW948		
PKW949		
PKW95		pJG4-5
PKW950		pFA6aKanMX4
PKW951		pKW913 - pQE-RanQ69Lcore
PKW952		pKW710
PKW953		pKW803
PKW954		pKW836
PKW955		pKW625
PKW956		pKW884
PKW957		pET30
PKW958	/MATERIALS/US492 /MATERIALS/US493	pKW312
PKW959	/MATERIALS/US486 /MATERIALS/US487	pKW884-pPHO5
PKW96		pJG4-5
PKW960	/MATERIALS/US492 /MATERIALS/US493	pKW312
PKW961	/MATERIALS/US102 /MATERIALS/US524	pKW958
PKW962	/MATERIALS/US102 /MATERIALS/US524	pKW960
PKW963		pKW639 - pCFP-2xR17
PKW964		pCDNA3
PKW965	/MATERIALS/US529 /MATERIALS/US530	Ref. # 961
PKW966	/MATERIALS/US529 /MATERIALS/US530	Ref. #962
PKW967		pET 30a
PKW968		Ref. #962
PKW969	/MATERIALS/US537	
PKW97		pJG4-5
PKW970		
PKW971		
PKW972	/MATERIALS/US540 /MATERIALS/US541	pKW970
PKW973	/MATERIALS/US540 /MATERIALS/US541	
PKW974		
PKW975		
PKW976		
PKW977		
PKW978		pKW195
PKW979		pET 30a
PKW98		pJG4-5
PKW980		pET 30a
PKW981		
PKW982		
PKW983		
PKW984		
PKW985		
PKW986		pKW 13
PKW987		pKW 13
PKW988		EBO640 (PHO4GFP2)
PKW989		pRS315
PKW99		pJG4-5
PKW990		pPS2040 (pKW993)
PKW991		pPS2040 (pKW993)
PKW992		pPS2040 (pKW993)
PKW993		pRS246
PKW994		pRS314
PKW995		pPS2038 (pKW992)
PKW996		pPS3036 (pKW990)
PKW997		pRS313
PKW998		pKW195
PKW999		pRS306
